LID , TYPE , CA , NP , PD
I:/Project/BHLU/ReclassTo3/FID_30/year_2015.img , cls_3 ,  253572.0531 ,    2970.0000 ,       0.0088
I:/Project/BHLU/ReclassTo3/FID_31/year_1992.img , cls_2 , 6865536.2014 ,   10993.0000 ,       0.0583
I:/Project/BHLU/ReclassTo3/FID_31/year_1992.img , cls_1 , 11910373.9592 ,    5795.0000 ,       0.0307
I:/Project/BHLU/ReclassTo3/FID_31/year_1992.img , cls_3 ,   79743.0489 ,     675.0000 ,       0.0036
I:/Project/BHLU/ReclassTo3/FID_31/year_2015.img , cls_2 , 7110053.9587 ,   10575.0000 ,       0.0561
I:/Project/BHLU/ReclassTo3/FID_31/year_2015.img , cls_1 , 11587796.3108 ,    6338.0000 ,       0.0336
I:/Project/BHLU/ReclassTo3/FID_31/year_2015.img , cls_3 ,  157802.9401 ,    1544.0000 ,       0.0082
I:/Project/BHLU/ReclassTo3/FID_32/year_1992.img , cls_1 , 24002182.2332 ,    1051.0000 ,       0.0041
I:/Project/BHLU/ReclassTo3/FID_32/year_1992.img , cls_2 , 1103875.7912 ,    7046.0000 ,       0.0277
I:/Project/BHLU/ReclassTo3/FID_32/year_1992.img , cls_3 ,  303201.1654 ,    1605.0000 ,       0.0063
I:/Project/BHLU/ReclassTo3/FID_32/year_2015.img , cls_1 , 23750381.9586 ,    1389.0000 ,       0.0055
I:/Project/BHLU/ReclassTo3/FID_32/year_2015.img , cls_2 , 1184100.4901 ,    6800.0000 ,       0.0268
I:/Project/BHLU/ReclassTo3/FID_32/year_2015.img , cls_3 ,  474776.7411 ,    2332.0000 ,       0.0092
I:/Project/BHLU/ReclassTo3/FID_33/year_1992.img , cls_1 , 69333111.5632 ,   33403.0000 ,       0.0332
I:/Project/BHLU/ReclassTo3/FID_33/year_1992.img , cls_2 , 31095813.9757 ,   46120.0000 ,       0.0459
I:/Project/BHLU/ReclassTo3/FID_33/year_1992.img , cls_3 ,   49190.9144 ,    1085.0000 ,       0.0011
I:/Project/BHLU/ReclassTo3/FID_33/year_2015.img , cls_1 , 68194527.3010 ,   36295.0000 ,       0.0361
I:/Project/BHLU/ReclassTo3/FID_33/year_2015.img , cls_3 ,  156364.4692 ,    2239.0000 ,       0.0022
I:/Project/BHLU/ReclassTo3/FID_33/year_2015.img , cls_2 , 32127224.6831 ,   46093.0000 ,       0.0459
I:/Project/BHLU/ReclassTo3/FID_34/year_1992.img , cls_1 , 98103024.3053 ,   19652.0000 ,       0.0159
I:/Project/BHLU/ReclassTo3/FID_34/year_1992.img , cls_3 , 2387949.0185 ,   14948.0000 ,       0.0121
I:/Project/BHLU/ReclassTo3/FID_34/year_1992.img , cls_2 , 22888488.9703 ,   71160.0000 ,       0.0577
